id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawler,crawled_at
2517742654,https://www.vivareal.com.br/imovel/apartamento-2-quartos-trindade-bairros-florianopolis-com-garagem-65m2-aluguel-RS2300-id-2517742654/,"Apartamento com 2 Quartos para Aluguel, 65m²","Rua Douglas Seabra Levier - Trindade, Florianópolis - SC",65,2 Quartos,1 Banheiro,1 Vaga,Elevador,R$ 2.300 /mês,R$ 288,Florianópolis,2021-05-24 01:53
2492749754,https://www.vivareal.com.br/imovel/apartamento-1-quartos-canasvieiras-bairros-florianopolis-40m2-aluguel-RS270-id-2492749754/,"Apartamento com Quarto para Aluguel, 40m²","Canasvieiras, Florianópolis - SC",40,1 Quarto,1 Banheiro,-- Vaga,"Elevador
Conexão à internet",R$ 270 /dia,,Florianópolis,2021-05-24 01:53
2498593584,https://www.vivareal.com.br/imovel/apartamento-1-quartos-canasvieiras-bairros-florianopolis-60m2-aluguel-RS400-id-2498593584/,"Apartamento com Quarto para Aluguel, 60m²","Rua Antenor Borges - Canasvieiras, Florianópolis - SC",60,1 Quarto,1 Banheiro,-- Vaga,"Mobiliado
Elevador
Churrasqueira
Varanda
Ar-condicionado",R$ 400 /dia,,Florianópolis,2021-05-24 01:53
2520889205,https://www.vivareal.com.br/imovel/apartamento-3-quartos-coqueiros-bairros-florianopolis-com-garagem-65m2-aluguel-RS1000-id-2520889205/,"Apartamento com 3 Quartos para Aluguel, 65m²","Rua Doutor Abel Capela - Coqueiros, Florianópolis - SC",65,3 Quartos,1 Banheiro,1 Vaga,,R$ 1.000 /mês,R$ 203,Florianópolis,2021-05-24 01:53
2519809901,https://www.vivareal.com.br/imovel/apartamento-2-quartos-abraao-bairros-florianopolis-75m2-aluguel-RS1400-id-2519809901/,"Apartamento com 2 Quartos para Aluguel, 75m²","Rua Professora Rosinha Campos - Abraão, Florianópolis - SC",75,2 Quartos,1 Banheiro,-- Vaga,,R$ 1.400 /mês,,Florianópolis,2021-05-24 01:53
2517684284,https://www.vivareal.com.br/imovel/apartamento-3-quartos-agronomica-bairros-florianopolis-com-garagem-131m2-aluguel-RS7500-id-2517684284/,"Apartamento com 3 Quartos para Aluguel, 131m²","Rua Comandante Constantino Nicolau Spyrides - Agronômica, Florianópolis - SC",131,3 Quartos,5 Banheiros,3 Vagas,,R$ 7.500 /mês,R$ 1.516,Florianópolis,2021-05-24 01:53
2515416794,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-florianopolis-com-garagem-80m2-aluguel-RS1600-id-2515416794/,"Apartamento com 3 Quartos para Aluguel, 80m²","Rua General Bittencourt - Centro, Florianópolis - SC",80,3 Quartos,2 Banheiros,1 Vaga,,R$ 1.600 /mês,R$ 615,Florianópolis,2021-05-24 01:53
2492753939,https://www.vivareal.com.br/imovel/apartamento-1-quartos-canasvieiras-bairros-florianopolis-45m2-aluguel-RS380-id-2492753939/,"Apartamento com Quarto para Aluguel, 45m²","Canasvieiras, Florianópolis - SC",45,1 Quarto,1 Banheiro,-- Vaga,"Mobiliado
Churrasqueira
Ar-condicionado
TV a cabo
Conexão à internet",R$ 380 /dia,,Florianópolis,2021-05-24 01:53
2520786731,https://www.vivareal.com.br/imovel/apartamento-3-quartos-itacorubi-bairros-florianopolis-com-garagem-81m2-aluguel-RS2900-id-2520786731/,"Apartamento com 3 Quartos para Aluguel, 81m²","Rua Pastor William Richard Schisler Filho - Itacorubi, Florianópolis - SC",81,3 Quartos,1 Banheiro,2 Vagas,"Elevador
Piscina",R$ 2.900 /mês,R$ 650,Florianópolis,2021-05-24 01:53
2520684782,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-florianopolis-com-garagem-69m2-aluguel-RS2300-id-2520684782/,"Apartamento com 3 Quartos para Aluguel, 69m²","Rua Visconde de Ouro Preto - Centro, Florianópolis - SC",69,3 Quartos,2 Banheiros,1 Vaga,,R$ 2.300 /mês,R$ 350,Florianópolis,2021-05-24 01:53
2490168388,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jurere-bairros-florianopolis-40m2-aluguel-RS1500-id-2490168388/,"Apartamento com Quarto para Aluguel, 40m²","Rodovia Jornalista Maurício Sirotsky Sobrinho - Jurerê, Florianópolis - SC",40,1 Quarto,1 Banheiro,-- Vaga,"Mobiliado
Elevador
Área de serviço
Churrasqueira
Varanda",R$ 1.500 /mês,,Florianópolis,2021-05-24 01:53
